time,lng,lat,speed,direction
"","119.591607","26.474198","",""
"","119.54132","26.48973","",""
"","119.438016","26.54388","",""
"2026-04-28 00:00:00","119.597851","26.463695","25",""
"2026-04-28 00:00:03","119.597854","26.463892","27",""
"2026-04-28 00:00:20","119.597842","26.464973","29",""
"2026-04-28 00:00:37","119.597832","26.466705","42",""
"2026-04-28 00:00:44","119.597846","26.467314","16",""
"2026-04-28 00:01:03","119.597855","26.467352","0",""
"2026-04-28 00:01:16","119.59786","26.468281","37",""
"2026-04-28 00:01:22","119.597854","26.46882","37",""
"2026-04-28 00:01:33","119.597881","26.47002","46",""
"2026-04-28 00:01:36","119.597881","26.470341","38",""
"2026-04-28 00:01:42","119.598015","26.470669","18",""
"2026-04-28 00:01:45","119.598162","26.470694","19",""
"2026-04-28 00:01:49","119.598331","26.470624","15",""
"2026-04-28 00:02:03","119.598696","26.470334","32",""
"2026-04-28 00:02:33","119.600247","26.468485","32",""
"2026-04-28 00:02:36","119.600098","26.468724","40",""
"2026-04-28 00:02:37","119.600042","26.468814","41",""
"2026-04-28 00:03:03","119.598568","26.470703","8",""
"2026-04-28 00:03:33","119.598568","26.470703","0",""
"2026-04-28 00:03:36","119.598568","26.470703","0",""
"2026-04-28 00:03:59","119.597785","26.47107","15",""
"2026-04-28 00:04:02","119.597761","26.470928","22",""
"2026-04-28 00:04:03","119.597764","26.470867","26",""
"2026-04-28 00:04:05","119.597774","26.470725","32",""
"2026-04-28 00:04:33","119.597802","26.468109","5",""
"2026-04-28 00:05:03","119.597825","26.466546","53",""
"2026-04-28 00:05:33","119.597787","26.46404","23",""
"2026-04-28 00:05:39","119.597693","26.463726","25",""
"2026-04-28 00:05:43","119.597414","26.46365","28",""
"2026-04-28 00:06:03","119.596982","26.463657","12",""
"2026-04-28 00:06:30","119.594364","26.463788","24",""
"2026-04-28 00:06:33","119.594302","26.464003","29",""
"2026-04-28 00:06:58","119.594284","26.466644","29",""
"2026-04-28 00:07:03","119.59429","26.466962","19",""
"2026-04-28 00:07:30","119.594252","26.469196","64",""
"2026-04-28 00:07:33","119.59425","26.469657","60",""
"2026-04-28 00:08:03","119.594211","26.473272","17",""
"2026-04-28 00:08:52","119.594205","26.473513","21",""
"2026-04-28 00:09:01","119.593868","26.474035","40",""
"2026-04-28 00:09:03","119.59368","26.474146","40",""
"2026-04-28 00:09:33","119.589983","26.475639","39",""
"2026-04-28 00:10:02","119.58671","26.47601","44",""
"2026-04-28 00:10:17","119.585537","26.476292","32",""
"2026-04-28 00:10:18","119.58552","26.476375","35",""
"2026-04-28 00:10:29","119.584862","26.476922","40",""
"2026-04-28 00:10:33","119.584361","26.476818","51",""
"2026-04-28 00:11:03","119.579695","26.476019","47",""
"2026-04-28 00:11:33","119.577214","26.476265","0",""
"2026-04-28 00:12:03","119.577214","26.476265","0",""
"2026-04-28 00:12:20","119.576795","26.475926","12",""
"2026-04-28 00:12:27","119.576423","26.475892","30",""
"2026-04-28 00:12:33","119.575879","26.475853","33",""
"2026-04-28 00:12:52","119.575128","26.475885","0",""
"2026-04-28 00:12:59","119.57507","26.475925","7",""
"2026-04-28 00:13:03","119.575061","26.476072","17",""
"2026-04-28 00:13:33","119.57519","26.476532","0",""
"2026-04-28 00:13:36","119.575265","26.476593","8",""
"2026-04-28 00:13:40","119.57544","26.476586","25",""
"2026-04-28 00:13:56","119.576505","26.476458","15",""
"2026-04-28 00:14:01","119.576193","26.476517","27",""
"2026-04-28 00:14:03","119.576014","26.476558","35",""
"2026-04-28 00:14:04","119.575918","26.476577","36",""
"2026-04-28 00:14:26","119.573271","26.477427","52",""
"2026-04-28 00:14:33","119.572379","26.4779","53",""
"2026-04-28 00:15:02","119.568645","26.480039","52",""
"2026-04-28 00:15:33","119.56729","26.480865","25",""
"2026-04-28 00:16:03","119.56443","26.482821","11",""
"2026-04-28 00:16:33","119.562794","26.483945","49",""
"2026-04-28 00:17:03","119.55887","26.484985","45",""
"2026-04-28 00:17:33","119.554732","26.485841","49",""
"2026-04-28 00:18:03","119.553571","26.486572","38",""
"2026-04-28 00:18:04","119.553556","26.486672","42",""
"2026-04-28 00:18:33","119.552994","26.490126","40",""
"2026-04-28 00:18:47","119.552909","26.490809","18",""
"2026-04-28 00:18:51","119.553076","26.490974","28",""
"2026-04-28 00:18:58","119.553612","26.491022","33",""
"2026-04-28 00:19:03","119.554078","26.491036","34",""
"2026-04-28 00:19:21","119.555314","26.491116","6",""
"2026-04-28 00:19:33","119.555329","26.49114","0",""
"2026-04-28 00:19:40","119.555432","26.491137","12",""
"2026-04-28 00:19:42","119.555522","26.491112","20",""
"2026-04-28 00:20:02","119.556708","26.491008","15",""
"2026-04-28 00:20:03","119.55672","26.490966","19",""
"2026-04-28 00:20:06","119.556751","26.49078","30",""
"2026-04-28 00:20:28","119.557051","26.489135","12",""
